role,skills
marketing manager,"product positioning and messaging market research and analysis product launch planning competitive analysis marketing collateral creation pricing strategies cross-functional collaboration, digital marketing strategies seo and sem social media marketing email marketing campaigns content marketing web analytics (e.g., google analytics) marketing automation tools (e.g., hubspot, marketo), brand strategy development brand identity and design brand storytelling marketing campaigns brand performance measurement creative thinking strong communication skills"
mechanical designer,"product design principles prototyping and wireframing user research user testing ui/ux design 3d modeling (if applicable) collaboration problem-solving creativity attention to detail communication skills software proficiency (e.g., sketch, adobe xd), computer-aided design (cad) software technical drawing blueprint interpretation drafting standards engineering principles collaboration with engineers problem-solving attention to detail communication skills 3d modeling (if applicable), hvac system design load calculations energy efficiency autocad or similar software mechanical engineering principles collaboration with architects and engineers regulatory compliance problem-solving attention to detail communication skills"
mechanical engineer,"manufacturing processes knowledge cad/cam software proficiency lean manufacturing principles quality control and assurance six sigma certification, mechanical engineering cad software (e.g., solidworks, autocad) finite element analysis product development prototyping, knowledge of hvac systems and equipment mechanical engineering skills problem-solving abilities autocad proficiency hvac design and installation expertise"
network administrator,"network security protocols intrusion detection and prevention security incident response firewall administration vulnerability assessment security policies and procedures log analysis ethical hacking problem-solving communication skills attention to detail, system administration server maintenance active directory backup and recovery cloud computing (e.g., aws, azure) troubleshooting it security best practices collaboration problem-solving attention to detail communication skills technical knowledge, network infrastructure design routing and switching network protocols (e.g., tcp/ip) cisco or juniper certifications troubleshooting and diagnostics security protocols wireless networking network monitoring collaboration problem-solving attention to detail"
network security specialist,"soc operations security incident response threat detection log analysis security tools (e.g., ids/ips) security alerts triage, cybersecurity security assessments intrusion detection security tools (e.g., siem) incident response vulnerability scanning, security consulting risk assessment security audits security policy development penetration testing client communication"
occupational therapist,"geriatric assessment and evaluation geriatric-specific occupational therapy techniques aging-related conditions (e.g., dementia, arthritis) fall prevention strategies care coordination with healthcare teams assistive technology for seniors patient advocacy empathy and compassion communication skills, pediatric assessment and evaluation occupational therapy techniques for children developmental milestones sensory integration therapy pediatric psychology family-centered care individualized treatment plans communication skills pediatric healthcare knowledge, mental health assessment and evaluation psychotherapy techniques cognitive-behavioral therapy (cbt) trauma-informed care crisis intervention substance abuse treatment group therapy cultural competence ethical standards and boundaries active listening skills"
pediatrician,"pediatric specialization advanced pediatric care pediatric subspecialty (e.g., pediatric cardiology, pediatric oncology) pediatric diagnostics pediatric treatment, pediatrics pediatric care diagnosis and treatment pediatric medical procedures patient care communication skills, pediatric surgery surgical procedures for children operating room protocols patient care surgical techniques pediatric anesthesia"
qa analyst,"software quality assurance test planning test case design test execution defect tracking test automation (e.g., selenium), test automation test framework development continuous integration scripting languages (e.g., python) test reporting code review, performance testing load testing stress testing test scenarios performance monitoring benchmarking performance analysis"
quality assurance analyst,"test automation frameworks and tools scripting and programming languages (e.g., python, java) continuous integration and continuous testing (ci/ct) test script development and maintenance test environment setup and management, quality assurance processes and methodologies quality metrics and kpis audit and compliance team leadership and management continuous improvement initiatives, test planning and strategy test case design and execution defect reporting and tracking test automation tools (e.g., selenium, appium) regression testing"
registered nurse,"clinical nursing specialization (e.g., critical care, oncology) advanced nursing skills patient education, nursing leadership charge nurse responsibilities team coordination, nursing care patient assessment medical knowledge"
research analyst,"market research methodologies data collection and analysis consumer behavior analysis competitor analysis survey design and analysis statistical analysis software (e.g., spss, sas) data visualization trend analysis report writing communication skills attention to detail, data analysis techniques research methodologies data collection and interpretation statistical analysis software (e.g., python) data visualization tools (e.g., tableau, power bi) research report writing critical thinking problem-solving communication skills attention to detail, social science research methods qualitative and quantitative data analysis survey design and implementation ethnographic research interviewing skills research ethics statistical software (e.g., stata, nvivo) report writing communication skills critical thinking empathy"
seo specialist,"content strategy seo content optimization content marketing keyword mapping analytics, search engine optimization keyword research seo tools (e.g., google analytics, semrush) on-page and off-page optimization, technical seo audits website crawl analysis schema markup xml sitemaps canonicalization"
social media coordinator,"content creation (e.g., writing, editing, graphic design, video production) content marketing social media management seo optimization creative storytelling audience engagement analytics and reporting adaptability communication skills creativity"
social media manager,"social media analytics tools (e.g., google analytics, facebook insights) data analysis and reporting social media roi measurement competitive analysis trend identification, community engagement and moderation online community-building strategies content curation and creation crisis management and conflict resolution analytics and reporting, social media marketing strategy development content planning and creation social media advertising and targeting data-driven decision-making social media trends and platform updates"
software architect,"enterprise architecture business strategy alignment it governance and compliance, solution design technical architecture cloud computing and software development knowledge, cloud computing platforms (aws, azure, etc.) cloud security containerization (docker, kubernetes)"
software developer,"mobile app development languages (e.g., java, swift, kotlin) cross-platform development (e.g., react native, flutter) mobile app design principles apis and web services integration debugging and troubleshooting"
software engineer,"python, proficiency in one or more backend programming languages (e.g., java, node.js, ruby) api development database management (sql or nosql) server management and deployment security best practices knowledge of web frameworks (e.g., express, django), proficiency in html, css, and javascript experience with frontend frameworks like react, angular, or vue.js responsive web design cross-browser compatibility version control (e.g., git) frontend performance optimization, automation and scripting (e.g., bash) continuous integration/continuous deployment (ci/cd) containerization (e.g."
software tester,"quality assurance processes testing methodologies (e.g., manual, automated) bug tracking and reporting test case development regression testing, test automation tools (e.g., selenium, appium) scripting languages (e.g., python, java) test framework development continuous integration tools test data management, performance testing methodologies load testing tools (e.g., jmeter) test script development performance profiling and analysis bottleneck identification"
systems administrator,"database management systems (e.g., mysql, oracle, sql server) data security database tuning and optimization backup and recovery, technical troubleshooting hardware and software support customer service problem-solving communication"
ux/ui designer,"interaction design principles user behavior and psychology wireframing and prototyping tools animation and micro-interaction design collaborative design processes, ui design principles and best practices graphic design tools (e.g., adobe photoshop, illustrator) typography and color theory visual design and layout responsive design, user-centered design principles ux/ui design tools (e.g., sketch, adobe xd) wireframing and prototyping usability testing and user research information architecture and user flows"
web developer,"html, css, javascript frontend frameworks (e.g., react, angular) user experience (ux), server-side programming (e.g., node.js, python) database management (e.g., sql, mongodb), frontend and backend development database integration problem-solving api knowledge"
